dieturn_id,image,conf,src_px,is_representative
dt_wsqqqx3ey,TPS_00747,0.9815,"714.8,729.0;710.7,696.1;662.9,702.1;667.0,735.0",True
dt_wsqqwv3wn,TPS_00834,0.98,"687.7,624.0;682.5,590.0;633.9,597.4;639.1,631.4",True
dt_wsqqx56f0,TPS_01006,0.9794,"601.3,317.2;588.3,281.6;548.4,296.3;561.4,331.9",True
dt_wsqqw8kvz,TPS_01548,0.9791,"492.4,292.8;484.0,261.8;433.2,275.5;441.6,306.6",True
dt_wsqqkskdx,TPS_01067,0.9789,"527.8,245.6;522.9,216.1;478.5,223.5;483.4,253.0",True
dt_wsqqw3ecr,TPS_02467,0.9787,"213.4,265.3;201.9,204.3;176.0,209.2;187.5,270.2",True
dt_wsqqw3ecr,TPS_01180,0.9785,"469.4,777.3;457.9,716.3;432.0,721.2;443.5,782.2",False
dt_wsqqqx3th,TPS_00747,0.9779,"593.3,357.5;591.8,323.5;543.8,325.6;545.3,359.6",True
dt_wsqqtdujn,TPS_00060,0.9778,"196.9,700.3;176.1,658.0;146.4,672.6;167.2,714.9",True
dt_wsqqw27mr,TPS_00096,0.9775,"746.8,687.0;746.3,656.3;690.8,657.1;691.2,687.8",True
dt_wsqqqw9dh,TPS_00655,0.9775,"596.5,318.7;596.0,286.6;507.4,288.0;507.9,320.1",True
dt_wsqqt179k,TPS_00197,0.977,"337.4,508.7;329.4,476.9;300.4,484.1;308.4,515.9",True
dt_wsqquv91v,TPS_00545,0.977,"867.8,407.3;854.8,355.0;821.5,363.3;834.5,415.6",True
dt_wsqqtpwbp,TPS_00788,0.9763,"495.6,355.3;497.7,316.8;435.8,313.4;433.6,351.9",True
dt_wsqqmx68u,TPS_00328,0.9757,"36.0,763.1;28.4,726.8;-8.6,734.5;-1.0,770.8",True
dt_wsqqqqxd8,TPS_00657,0.9757,"548.6,435.1;548.1,402.1;491.2,402.8;491.7,435.9",True
dt_wsqqkue21,TPS_00827,0.9757,"665.3,791.2;658.7,756.2;612.9,764.9;619.6,799.9",True
dt_wsqqmmr2y,TPS_00315,0.9756,"685.7,198.3;688.7,163.5;627.4,158.3;624.4,193.1",True
dt_wsqqqtbn1,TPS_00660,0.9755,"368.1,326.5;350.7,304.2;311.5,334.7;328.9,357.0",True
dt_wsqqrrn73,TPS_00266,0.9754,"629.4,301.5;609.4,263.3;585.9,275.6;605.9,313.8",True
dt_wsqqwu4gs,TPS_00969,0.9753,"318.2,537.6;301.8,500.7;271.0,514.4;287.4,551.3",True
dt_wsqqqr5xn,TPS_00740,0.9748,"424.6,214.0;406.4,186.9;358.2,219.4;376.4,246.4",True
dt_wsqqtd2xp,TPS_00678,0.9747,"486.8,854.4;485.4,818.4;433.3,820.5;434.7,856.5",True
dt_wsqqmtnr6,TPS_00294,0.9746,"425.7,345.0;425.1,317.6;389.4,318.4;390.1,345.8",True
dt_wsqqv2w40,TPS_00016,0.9739,"834.7,254.2;823.0,201.9;788.9,209.5;800.6,261.8",True
dt_wsqqw0mys,TPS_00719,0.9739,"604.9,864.4;604.5,830.4;544.7,831.2;545.1,865.1",True
dt_wsqqktn9x,TPS_00924,0.9736,"748.5,683.8;736.8,662.0;703.0,680.0;714.7,701.9",True
dt_wsqqw3h2f,TPS_02441,0.9735,"176.5,349.1;168.8,299.0;140.2,303.4;147.9,353.5",True
dt_wsqqw3h2f,TPS_01174,0.9732,"688.5,605.1;680.8,555.0;652.2,559.4;659.9,609.5",False
dt_wsqqt645x,TPS_00324,0.9734,"265.5,510.7;265.4,473.9;184.8,474.1;184.9,510.9",True
dt_wsqqtyqe8,TPS_00891,0.9731,"295.9,463.2;303.3,417.1;271.1,412.0;263.8,458.1",True
dt_wsqqmne4k,TPS_02249,0.973,"584.2,523.6;587.0,485.4;519.3,480.5;516.5,518.7",True
dt_wsqqqx2t3,TPS_00741,0.9729,"383.4,311.9;382.6,274.8;335.6,275.9;336.4,313.0",True
dt_wsqqtvxmq,TPS_00893,0.9729,"439.8,599.6;419.2,538.1;386.0,549.2;406.6,610.7",True
dt_wsqqqxkkp,TPS_00149,0.9727,"741.4,366.4;724.4,307.2;689.7,317.2;706.7,376.4",True
dt_wsqqtce70,TPS_00240,0.9727,"573.9,808.4;571.7,776.1;530.9,778.8;533.1,811.1",True
dt_wsqqth7s1,TPS_00686,0.9727,"383.7,467.6;378.3,412.3;344.5,415.6;349.9,470.9",True
dt_wsqqugyyt,TPS_00883,0.9725,"622.4,245.7;591.0,209.1;559.8,235.8;591.2,272.4",True
dt_wsqqv2kxz,TPS_01080,0.9724,"533.4,320.2;524.9,285.5;482.0,296.1;490.6,330.8",True
dt_wsqqqrrte,TPS_00738,0.9723,"526.3,230.8;524.8,194.2;481.9,195.9;483.4,232.5",True
dt_wsqqmz8md,TPS_00065,0.9719,"952.4,468.7;942.6,431.6;863.7,452.3;873.5,489.4",True
