id,conf,lat,lon,intersection_id,corner,src_image,n_detections
dt_wsqqt2xd0,0.7999,25.0519215,121.530117,TPS_00665,SE,TPS_00665,1
dt_wsqqmgxb2,0.7982,25.0241889,121.5524307,TPS_00001,SW,TPS_00001,1
dt_wsqqn7cnu,0.7982,24.9827175,121.5652891,TPS_00033,SW,TPS_00033,1
dt_wsqquyuyr,0.7977,25.1309464,121.5046636,TPS_02087,SE,TPS_02087,1
dt_wsqqt3dm7,0.7974,25.0580049,121.5230267,TPS_00143,NE,TPS_00143,1
dt_wsqqt6t9m,0.7973,25.0627891,121.527562,TPS_00045,NW,TPS_00045,2
dt_wsqqtes01,0.7965,25.0680588,121.5363264,TPS_01221,SE,TPS_01221,1
dt_wsqqmrdbv,0.7964,25.0462466,121.5238086,TPS_00114,SE,TPS_00114,1
dt_wsqqks7db,0.7956,25.0287076,121.4916632,TPS_00349,NW,TPS_00349,1
dt_wsqqv4msg,0.7943,25.1059689,121.5165124,TPS_01084,SW,TPS_01084,2
dt_wsqqtuqce,0.7937,25.0724523,121.5511747,TPS_00057,NW,TPS_00057,1
dt_wsqqtdkwn,0.7921,25.0622462,121.5372235,TPS_00611,SW,TPS_00611,1
dt_wsqqt13zp,0.7899,25.0569144,121.5115056,TPS_01584,SW,TPS_01584,1
dt_wsqqmzc90,0.7873,25.0476333,121.5438365,TPS_02536,SW,TPS_02535,3
dt_wsqqqh0x7,0.7862,25.0281287,121.5535635,TPS_02187,NW,TPS_02187,1
dt_wsqqx2w40,0.7851,25.0519383,121.6159425,TPS_00862,SW,TPS_00862,1
dt_wsqqqjn71,0.7808,25.0328664,121.5613957,TPS_00043,SE,TPS_00043,1
dt_wsqqmy9md,0.7808,25.0415476,121.5435514,TPS_00105,SW,TPS_00105,1
dt_wsqqt7d1g,0.7804,25.068392,121.5226672,TPS_00044,SW,TPS_00044,1
dt_wsqqmrzkd,0.7795,25.048263,121.5298333,TPS_01507,NW,TPS_01507,2
dt_wsqqwjdtt,0.7765,25.079997,121.5564216,TPS_00171,NE,TPS_00171,1
dt_wsqqwsbpv,0.7751,25.076274,121.5749501,TPS_00995,SE,TPS_00995,1
dt_wsqqt7meq,0.7747,25.0672476,121.5276246,TPS_02258,NW,TPS_02258,1
dt_wsqqqh0w7,0.7746,25.0279533,121.5535917,TPS_02187,SW,TPS_02187,1
dt_wsqqmgw38,0.7733,25.0243811,121.5503325,TPS_00309,SE,TPS_00309,1
dt_wsqqtq7sg,0.7724,25.0840062,121.5247474,TPS_00343,SE,TPS_00343,2
dt_wsqqme4t1,0.7718,25.0222226,121.534245,TPS_00646,SW,TPS_00646,1
dt_wsqqx3nsu,0.771,25.0551668,121.6167838,TPS_00277,NE,TPS_00277,1
dt_wsqqmhz7m,0.7707,25.031558,121.5189903,TPS_01096,SW,TPS_01096,1
dt_wsqqmtjmc,0.7684,25.0333434,121.5380532,TPS_01361,SE,TPS_01361,1
dt_wsqqt3sjq,0.7682,25.0579698,121.525562,TPS_01574,SE,TPS_01574,1
dt_wsqqkvjrp,0.7656,25.0335868,121.5053402,TPS_00916,NE,TPS_00916,1
dt_wsqqwgewj,0.7654,25.069097,121.5907452,TPS_00167,NW,TPS_00167,1
dt_wsqqtb9d7,0.7649,25.0519806,121.5439508,TPS_00445,NE,TPS_00445,1
dt_wsqqq5847,0.763,25.0245061,121.5528873,TPS_00001,NE,TPS_00001,1
dt_wsqqktxbg,0.763,25.0352381,121.4976015,TPS_00350,SE,TPS_00350,1
dt_wsqqvc52h,0.7627,25.0982851,121.5464131,TPS_01192,SW,TPS_01192,2
dt_wsqqmnkc9,0.7622,25.0394832,121.5153755,TPS_02096,SW,TPS_02096,1
dt_wsqqw65x8,0.7611,25.061124,121.5685347,TPS_00448,SW,TPS_00448,1
dt_wsqqtynvw,0.7595,25.0827326,121.5512759,TPS_00539,NE,TPS_00539,1
dt_wsqqmzc2r,0.7593,25.0475139,121.5437722,TPS_02536,SW,TPS_02536,1
dt_wsqqmng60,0.7585,25.0423218,121.5132849,TPS_02246,NE,TPS_02246,1
dt_wsqqt4e9d,0.7559,25.0628564,121.5136871,TPS_00078,SE,TPS_00078,1
dt_wsqqt49ff,0.755,25.0630495,121.5113096,TPS_00711,NE,TPS_00711,1
dt_wsqqt2upb,0.755,25.0543164,121.5252877,TPS_01571,SW,TPS_01571,1
dt_wsqqw2nnu,0.7535,25.0500215,121.5721367,TPS_00329,NW,TPS_00329,2
dt_wsqqt5x5h,0.7525,25.0685791,121.5185742,TPS_01225,NW,TPS_01225,2
dt_wsqqtmekn,0.7522,25.0797387,121.5245167,TPS_01239,NE,TPS_01239,3
dt_wsqqmvhyn,0.7517,25.0334157,121.5485481,TPS_00005,NW,TPS_00005,1
dt_wsqqmefg4,0.7504,25.025998,121.5346335,TPS_00134,SW,TPS_00134,1
dt_wsqqqrkth,0.7478,25.0455753,121.5700723,TPS_00145,SW,TPS_00145,1
dt_wsqqmprs3,0.7469,25.0454789,121.5191378,TPS_01533,SW,TPS_01533,1
dt_wsqqkzq8g,0.7469,25.0448585,121.5068904,TPS_01677,NE,TPS_01677,1
dt_wsqqmvej9,0.7463,25.036047,121.5459508,TPS_01327,NW,TPS_01327,1
dt_wsqrj3m1v,0.7432,25.1439224,121.526879,TPS_01881,SE,TPS_01881,2
dt_wsqqkv1fv,0.7417,25.0328615,121.5004383,TPS_00928,SW,TPS_00928,2
dt_wsqqmfeg0,0.741,25.0191729,121.546932,TPS_00675,SE,TPS_00675,1
dt_wsqqwyrj0,0.7408,25.0840199,121.5953077,TPS_00267,SE,TPS_00267,2
