id,lat,lon,n_nodes,source,zoom,grid
TPS_00000,25.054528,121.576396,16,taipei_udd_Image_2025,21,4
TPS_00001,25.024346,121.552503,14,taipei_udd_Image_2025,21,4
TPS_00002,25.08044,121.56269,12,taipei_udd_Image_2025,21,4
TPS_00003,25.045626,121.532892,11,taipei_udd_Image_2025,21,4
TPS_00004,25.037558,121.561632,10,taipei_udd_Image_2025,21,4
TPS_00005,25.033277,121.548796,9,taipei_udd_Image_2025,21,4
TPS_00006,25.02815,121.548523,9,taipei_udd_Image_2025,21,4
TPS_00007,25.043301,121.529888,9,taipei_udd_Image_2025,21,4
TPS_00008,25.037827,121.549649,9,taipei_udd_Image_2025,21,4
TPS_00009,25.048845,121.565374,9,taipei_udd_Image_2025,21,4
TPS_00010,25.037968,121.543694,8,taipei_udd_Image_2025,21,4
TPS_00011,25.037142,121.548829,8,taipei_udd_Image_2025,21,4
TPS_00012,25.038583,121.548842,8,taipei_udd_Image_2025,21,4
TPS_00013,25.03781,121.551314,8,taipei_udd_Image_2025,21,4
TPS_00014,25.038149,121.532822,8,taipei_udd_Image_2025,21,4
TPS_00015,25.040151,121.53283,8,taipei_udd_Image_2025,21,4
TPS_00016,25.095771,121.527928,8,taipei_udd_Image_2025,21,4
TPS_00017,25.01115,121.537088,8,taipei_udd_Image_2025,21,4
TPS_00018,25.048127,121.553739,8,taipei_udd_Image_2025,21,4
TPS_00019,25.061639,121.563182,8,taipei_udd_Image_2025,21,4
TPS_00020,25.059581,121.586376,8,taipei_udd_Image_2025,21,4
TPS_00021,24.987653,121.575982,7,taipei_udd_Image_2025,21,4
TPS_00022,25.037924,121.548064,7,taipei_udd_Image_2025,21,4
TPS_00023,25.037688,121.557576,7,taipei_udd_Image_2025,21,4
TPS_00024,25.029959,121.548744,7,taipei_udd_Image_2025,21,4
TPS_00025,25.014142,121.552178,7,taipei_udd_Image_2025,21,4
TPS_00026,25.058192,121.563499,7,taipei_udd_Image_2025,21,4
TPS_00027,25.054337,121.567314,7,taipei_udd_Image_2025,21,4
TPS_00028,24.988532,121.561906,7,taipei_udd_Image_2025,21,4
TPS_00029,25.035119,121.503311,7,taipei_udd_Image_2025,21,4
TPS_00030,25.07281,121.535802,7,taipei_udd_Image_2025,21,4
TPS_00031,25.021195,121.548841,7,taipei_udd_Image_2025,21,4
TPS_00032,25.069273,121.57474,7,taipei_udd_Image_2025,21,4
TPS_00033,24.98288,121.565513,7,taipei_udd_Image_2025,21,4
TPS_00034,24.988563,121.568577,7,taipei_udd_Image_2025,21,4
TPS_00035,25.050075,121.548848,7,taipei_udd_Image_2025,21,4
TPS_00036,25.044506,121.519277,6,taipei_udd_Image_2025,21,4
TPS_00037,25.047149,121.520301,6,taipei_udd_Image_2025,21,4
TPS_00038,25.033206,121.552478,6,taipei_udd_Image_2025,21,4
TPS_00039,25.033382,121.543607,6,taipei_udd_Image_2025,21,4
TPS_00040,25.033096,121.557485,6,taipei_udd_Image_2025,21,4
TPS_00041,25.045113,121.557755,6,taipei_udd_Image_2025,21,4
TPS_00042,25.041746,121.537087,6,taipei_udd_Image_2025,21,4
TPS_00043,25.032991,121.561372,6,taipei_udd_Image_2025,21,4
TPS_00044,25.068446,121.522861,6,taipei_udd_Image_2025,21,4
TPS_00045,25.062636,121.527631,6,taipei_udd_Image_2025,21,4
TPS_00046,25.022778,121.548721,6,taipei_udd_Image_2025,21,4
TPS_00047,25.038249,121.528313,6,taipei_udd_Image_2025,21,4
TPS_00048,25.034083,121.527273,6,taipei_udd_Image_2025,21,4
TPS_00049,25.062769,121.522623,6,taipei_udd_Image_2025,21,4
TPS_00050,25.046043,121.530736,6,taipei_udd_Image_2025,21,4
TPS_00051,25.052251,121.522553,6,taipei_udd_Image_2025,21,4
TPS_00052,25.05721,121.581374,6,taipei_udd_Image_2025,21,4
TPS_00053,24.98247,121.567043,6,taipei_udd_Image_2025,21,4
TPS_00054,25.100433,121.550776,6,taipei_udd_Image_2025,21,4
TPS_00055,25.054805,121.533208,6,taipei_udd_Image_2025,21,4
TPS_00056,24.998851,121.543463,6,taipei_udd_Image_2025,21,4
TPS_00057,25.072281,121.551376,6,taipei_udd_Image_2025,21,4
TPS_00058,25.054001,121.560672,6,taipei_udd_Image_2025,21,4
TPS_00059,25.048235,121.558356,6,taipei_udd_Image_2025,21,4
TPS_00060,25.064918,121.536701,6,taipei_udd_Image_2025,21,4
TPS_00061,25.042595,121.548877,6,taipei_udd_Image_2025,21,4
TPS_00062,25.04356,121.54888,6,taipei_udd_Image_2025,21,4
TPS_00063,25.046144,121.548903,6,taipei_udd_Image_2025,21,4
TPS_00064,25.03096,121.548781,6,taipei_udd_Image_2025,21,4
TPS_00065,25.047095,121.541855,6,taipei_udd_Image_2025,21,4
TPS_00066,25.056623,121.560467,6,taipei_udd_Image_2025,21,4
TPS_00067,25.034906,121.516701,5,taipei_udd_Image_2025,21,4
TPS_00068,25.110499,121.511255,5,taipei_udd_Image_2025,21,4
TPS_00069,25.090261,121.527383,5,taipei_udd_Image_2025,21,4
TPS_00070,25.033934,121.504698,5,taipei_udd_Image_2025,21,4
TPS_00071,25.041301,121.557689,5,taipei_udd_Image_2025,21,4
TPS_00072,25.038015,121.538228,5,taipei_udd_Image_2025,21,4
TPS_00073,25.033041,121.559566,5,taipei_udd_Image_2025,21,4
TPS_00074,25.048199,121.552586,5,taipei_udd_Image_2025,21,4
TPS_00075,25.033699,121.532466,5,taipei_udd_Image_2025,21,4
TPS_00076,25.066566,121.53329,5,taipei_udd_Image_2025,21,4
TPS_00077,25.05607,121.544119,5,taipei_udd_Image_2025,21,4
TPS_00078,25.063013,121.513602,5,taipei_udd_Image_2025,21,4
TPS_00079,25.061928,121.554591,5,taipei_udd_Image_2025,21,4
TPS_00080,25.049845,121.571033,5,taipei_udd_Image_2025,21,4
TPS_00081,25.030613,121.533608,5,taipei_udd_Image_2025,21,4
TPS_00082,25.049435,121.513325,5,taipei_udd_Image_2025,21,4
TPS_00083,25.055829,121.579002,5,taipei_udd_Image_2025,21,4
TPS_00084,24.993045,121.541092,5,taipei_udd_Image_2025,21,4
TPS_00085,25.029182,121.491497,5,taipei_udd_Image_2025,21,4
TPS_00086,25.038171,121.517446,5,taipei_udd_Image_2025,21,4
TPS_00087,25.076139,121.571175,5,taipei_udd_Image_2025,21,4
TPS_00088,24.990634,121.56645,5,taipei_udd_Image_2025,21,4
TPS_00089,25.101773,121.521344,5,taipei_udd_Image_2025,21,4
TPS_00090,25.012988,121.563283,5,taipei_udd_Image_2025,21,4
TPS_00091,25.056112,121.540582,5,taipei_udd_Image_2025,21,4
TPS_00092,24.997261,121.562076,5,taipei_udd_Image_2025,21,4
TPS_00093,25.06207,121.547943,5,taipei_udd_Image_2025,21,4
TPS_00094,25.056183,121.536971,5,taipei_udd_Image_2025,21,4
TPS_00095,25.051385,121.566048,5,taipei_udd_Image_2025,21,4
TPS_00096,25.051295,121.568372,5,taipei_udd_Image_2025,21,4
TPS_00097,25.026845,121.548812,5,taipei_udd_Image_2025,21,4
TPS_00098,25.072435,121.542308,5,taipei_udd_Image_2025,21,4
TPS_00099,25.048219,121.547187,5,taipei_udd_Image_2025,21,4
TPS_00100,25.044597,121.542245,5,taipei_udd_Image_2025,21,4
TPS_00101,25.044859,121.543864,4,taipei_udd_Image_2025,21,4
TPS_00102,25.016305,121.532724,4,taipei_udd_Image_2025,21,4
TPS_00103,25.035277,121.5125,4,taipei_udd_Image_2025,21,4
TPS_00104,25.027245,121.51597,4,taipei_udd_Image_2025,21,4
TPS_00105,25.041623,121.543776,4,taipei_udd_Image_2025,21,4
TPS_00106,25.027071,121.522428,4,taipei_udd_Image_2025,21,4
TPS_00107,25.053164,121.616281,4,taipei_udd_Image_2025,21,4
TPS_00108,25.07943,121.576867,4,taipei_udd_Image_2025,21,4
TPS_00109,25.073344,121.605733,4,taipei_udd_Image_2025,21,4
TPS_00110,25.037307,121.506878,4,taipei_udd_Image_2025,21,4
TPS_00111,25.035675,121.510809,4,taipei_udd_Image_2025,21,4
TPS_00112,25.03128,121.507778,4,taipei_udd_Image_2025,21,4
TPS_00113,25.007963,121.538251,4,taipei_udd_Image_2025,21,4
TPS_00114,25.046339,121.523799,4,taipei_udd_Image_2025,21,4
TPS_00115,25.07972,121.544422,4,taipei_udd_Image_2025,21,4
TPS_00116,24.987139,121.578282,4,taipei_udd_Image_2025,21,4
TPS_00117,25.065758,121.61091,4,taipei_udd_Image_2025,21,4
TPS_00118,25.064992,121.610942,4,taipei_udd_Image_2025,21,4
TPS_00119,25.039241,121.507437,4,taipei_udd_Image_2025,21,4
TPS_00120,25.003462,121.562866,4,taipei_udd_Image_2025,21,4
TPS_00121,25.035021,121.514722,4,taipei_udd_Image_2025,21,4
TPS_00122,25.027561,121.514546,4,taipei_udd_Image_2025,21,4
TPS_00123,25.11444,121.527409,4,taipei_udd_Image_2025,21,4
TPS_00124,25.041896,121.518502,4,taipei_udd_Image_2025,21,4
TPS_00125,25.037926,121.546041,4,taipei_udd_Image_2025,21,4
TPS_00126,25.070837,121.574748,4,taipei_udd_Image_2025,21,4
TPS_00127,25.037729,121.555445,4,taipei_udd_Image_2025,21,4
TPS_00128,25.037779,121.552936,4,taipei_udd_Image_2025,21,4
TPS_00129,25.041154,121.564489,4,taipei_udd_Image_2025,21,4
TPS_00130,25.049843,121.552719,4,taipei_udd_Image_2025,21,4
TPS_00131,25.024886,121.543426,4,taipei_udd_Image_2025,21,4
TPS_00132,25.052088,121.527706,4,taipei_udd_Image_2025,21,4
TPS_00133,25.03283,121.568327,4,taipei_udd_Image_2025,21,4
TPS_00134,25.026046,121.534872,4,taipei_udd_Image_2025,21,4
TPS_00135,25.05777,121.544156,4,taipei_udd_Image_2025,21,4
TPS_00136,25.052032,121.533006,4,taipei_udd_Image_2025,21,4
TPS_00137,25.03883,121.576774,4,taipei_udd_Image_2025,21,4
TPS_00138,25.040826,121.577853,4,taipei_udd_Image_2025,21,4
TPS_00139,25.075206,121.520147,4,taipei_udd_Image_2025,21,4
TPS_00140,25.062893,121.518296,4,taipei_udd_Image_2025,21,4
TPS_00141,25.080251,121.522157,4,taipei_udd_Image_2025,21,4
TPS_00142,25.05125,121.570364,4,taipei_udd_Image_2025,21,4
TPS_00143,25.057864,121.522856,4,taipei_udd_Image_2025,21,4
TPS_00144,25.057319,121.518167,4,taipei_udd_Image_2025,21,4
TPS_00145,25.04565,121.570397,4,taipei_udd_Image_2025,21,4
TPS_00146,25.052118,121.52538,4,taipei_udd_Image_2025,21,4
TPS_00147,25.048213,121.521006,4,taipei_udd_Image_2025,21,4
TPS_00148,25.048013,121.577792,4,taipei_udd_Image_2025,21,4
TPS_00149,25.045362,121.580714,4,taipei_udd_Image_2025,21,4
TPS_00150,25.02681,121.525911,4,taipei_udd_Image_2025,21,4
TPS_00151,25.084119,121.523538,4,taipei_udd_Image_2025,21,4
TPS_00152,25.052641,121.52037,4,taipei_udd_Image_2025,21,4
TPS_00153,25.053258,121.517703,4,taipei_udd_Image_2025,21,4
TPS_00154,25.091036,121.516451,4,taipei_udd_Image_2025,21,4
TPS_00155,25.085595,121.505682,4,taipei_udd_Image_2025,21,4
TPS_00156,25.05411,121.514484,4,taipei_udd_Image_2025,21,4
TPS_00157,25.04877,121.51644,4,taipei_udd_Image_2025,21,4
TPS_00158,25.048941,121.506343,4,taipei_udd_Image_2025,21,4
TPS_00159,25.035416,121.494368,4,taipei_udd_Image_2025,21,4
TPS_00160,25.06857,121.510818,4,taipei_udd_Image_2025,21,4
TPS_00161,25.04516,121.509151,4,taipei_udd_Image_2025,21,4
TPS_00162,25.054383,121.594781,4,taipei_udd_Image_2025,21,4
TPS_00163,25.050778,121.595688,4,taipei_udd_Image_2025,21,4
TPS_00164,25.123094,121.46895,4,taipei_udd_Image_2025,21,4
TPS_00165,25.054459,121.616476,4,taipei_udd_Image_2025,21,4
TPS_00166,25.054843,121.618715,4,taipei_udd_Image_2025,21,4
TPS_00167,25.068965,121.590846,4,taipei_udd_Image_2025,21,4
TPS_00168,25.052834,121.583173,4,taipei_udd_Image_2025,21,4
TPS_00169,25.044253,121.508892,4,taipei_udd_Image_2025,21,4
TPS_00170,25.093783,121.52804,4,taipei_udd_Image_2025,21,4
TPS_00171,25.07995,121.556326,4,taipei_udd_Image_2025,21,4
TPS_00172,25.077158,121.556343,4,taipei_udd_Image_2025,21,4
TPS_00173,25.045223,121.521641,4,taipei_udd_Image_2025,21,4
TPS_00174,25.134588,121.496329,4,taipei_udd_Image_2025,21,4
TPS_00175,25.073513,121.602986,4,taipei_udd_Image_2025,21,4
TPS_00176,24.990142,121.539707,4,taipei_udd_Image_2025,21,4
TPS_00177,24.988727,121.56017,4,taipei_udd_Image_2025,21,4
TPS_00178,24.990636,121.576814,4,taipei_udd_Image_2025,21,4
TPS_00179,24.989743,121.564874,4,taipei_udd_Image_2025,21,4
TPS_00180,24.987247,121.548863,4,taipei_udd_Image_2025,21,4
TPS_00181,24.991651,121.573682,4,taipei_udd_Image_2025,21,4
TPS_00182,24.987484,121.550036,4,taipei_udd_Image_2025,21,4
TPS_00183,25.029427,121.500524,4,taipei_udd_Image_2025,21,4
TPS_00184,25.033162,121.497957,4,taipei_udd_Image_2025,21,4
TPS_00185,25.028718,121.495628,4,taipei_udd_Image_2025,21,4
TPS_00186,25.031097,121.496813,4,taipei_udd_Image_2025,21,4
TPS_00187,25.068847,121.612077,4,taipei_udd_Image_2025,21,4
TPS_00188,25.097795,121.527358,4,taipei_udd_Image_2025,21,4
TPS_00189,25.030505,121.509401,4,taipei_udd_Image_2025,21,4
TPS_00190,25.034959,121.515223,4,taipei_udd_Image_2025,21,4
TPS_00191,25.051478,121.595492,4,taipei_udd_Image_2025,21,4
TPS_00192,25.040516,121.507812,4,taipei_udd_Image_2025,21,4
TPS_00193,25.082906,121.54448,4,taipei_udd_Image_2025,21,4
TPS_00194,25.045285,121.615421,4,taipei_udd_Image_2025,21,4
TPS_00195,25.002019,121.56671,4,taipei_udd_Image_2025,21,4
TPS_00196,25.009863,121.537396,4,taipei_udd_Image_2025,21,4
TPS_00197,25.055962,121.513934,4,taipei_udd_Image_2025,21,4
TPS_00198,25.085794,121.525683,4,taipei_udd_Image_2025,21,4
TPS_00199,25.063114,121.564882,4,taipei_udd_Image_2025,21,4
TPS_00200,25.118043,121.53244,4,taipei_udd_Image_2025,21,4
TPS_00201,24.998977,121.591668,4,taipei_udd_Image_2025,21,4
TPS_00202,25.052011,121.605457,4,taipei_udd_Image_2025,21,4
TPS_00203,25.055734,121.54916,4,taipei_udd_Image_2025,21,4
TPS_00204,24.989313,121.573758,4,taipei_udd_Image_2025,21,4
TPS_00205,25.058179,121.554282,4,taipei_udd_Image_2025,21,4
TPS_00206,25.059025,121.56492,4,taipei_udd_Image_2025,21,4
TPS_00207,24.986129,121.556238,4,taipei_udd_Image_2025,21,4
TPS_00208,24.988111,121.573604,4,taipei_udd_Image_2025,21,4
TPS_00209,24.984499,121.561689,4,taipei_udd_Image_2025,21,4
TPS_00210,24.988385,121.565304,4,taipei_udd_Image_2025,21,4
TPS_00211,25.021367,121.496077,4,taipei_udd_Image_2025,21,4
TPS_00212,24.982643,121.562362,4,taipei_udd_Image_2025,21,4
TPS_00213,24.987773,121.570669,4,taipei_udd_Image_2025,21,4
TPS_00214,24.983178,121.56919,4,taipei_udd_Image_2025,21,4
TPS_00215,24.988678,121.570638,4,taipei_udd_Image_2025,21,4
TPS_00216,25.054173,121.563863,4,taipei_udd_Image_2025,21,4
TPS_00217,24.991698,121.571117,4,taipei_udd_Image_2025,21,4
TPS_00218,25.003145,121.547872,4,taipei_udd_Image_2025,21,4
TPS_00219,24.986769,121.562659,4,taipei_udd_Image_2025,21,4
TPS_00220,24.985619,121.567415,4,taipei_udd_Image_2025,21,4
TPS_00221,24.987768,121.56223,4,taipei_udd_Image_2025,21,4
TPS_00222,24.98476,121.566767,4,taipei_udd_Image_2025,21,4
TPS_00223,24.986858,121.568369,4,taipei_udd_Image_2025,21,4
TPS_00224,24.991473,121.568321,4,taipei_udd_Image_2025,21,4
TPS_00225,25.079098,121.573539,4,taipei_udd_Image_2025,21,4
